configuration,action,time,side,hand yaw degrees,hand elevation degrees,hand x,hand y,hand z,palm x,palm y,palm z,index x,index y,index z
normal,Idle,1.4,left,85.0921401977539,1.4286314249038696,0.996023952960968,0.024931738153100014,0.08552708476781845,0.08836404979228973,-0.15443557500839233,-0.9840433597564697,0.7856401205062866,-0.03453255072236061,-0.6177191138267517
normal,Idle,1.4,right,-85.09213256835938,1.4286479949951172,-0.9960238933563232,0.024932028725743294,0.08552727103233337,-0.08836428821086884,-0.15443554520606995,-0.9840434193611145,-0.7856397032737732,-0.03453291207551956,-0.6177196502685547
normal,Read,5.8,left,4.9480317102279514e-05,48.56575393676758,5.714923076993728e-07,0.7497156262397766,0.6617600917816162,0.34289783239364624,0.6216392517089844,-0.7042626142501831,0.3037899434566498,0.8782581686973572,0.3692886233329773
normal,Read,5.8,right,-4.9480317102279514e-05,48.56573486328125,-5.714925919164671e-07,0.7497153878211975,0.6617603898048401,-0.342897891998291,0.6216394901275635,-0.7042622566223145,-0.3037901222705841,0.8782579302787781,0.36928898096084595
normal,Read,9.833333333333334,left,85.09213256835938,1.4286659955978394,0.996023952960968,0.024932345375418663,0.08552722632884979,0.08836427330970764,-0.15443557500839233,-0.9840433597564697,0.7856401205062866,-0.03453267365694046,-0.6177191138267517
normal,Read,9.833333333333334,right,-0.00018289752188138664,79.68675994873047,-5.71491796108603e-07,0.9838436841964722,0.17902959883213043,-1,-5.408937227002752e-07,-2.1972266495140502e-07,-0.39005210995674133,0.8558309674263,0.33972400426864624
normal,Mail Read,4.166666666666667,left,90.00001525878906,0,1.0000001192092896,0,-2.857459833194298e-07,-2.8112941663493984e-07,0.17902962863445282,-0.9838436841964722,0.9293339848518372,-0.11959182471036911,-0.3493366837501526
normal,Mail Read,4.166666666666667,right,-85.09213256835938,1.4286521673202515,-0.9960238933563232,0.024932101368904114,0.08552727103233337,-0.08836429566144943,-0.15443554520606995,-0.9840434193611145,-0.7856398820877075,-0.0345330536365509,-0.6177194118499756
normal,Write,0.7333333333333333,left,98.47520446777344,22.674135208129883,0.9126359820365906,0.3854895234107971,-0.1359904408454895,-0.08456979691982269,-0.14742428064346313,-0.9854511618614197,0.11902547627687454,-0.2883886992931366,-0.9500867128372192
normal,Write,0.7333333333333333,right,-90.00005340576172,3.2744061172707006e-05,-0.9999999403953552,5.714915687349276e-07,-8.572373531023914e-07,-9.457014016334142e-07,-0.17902959883213043,0.9838436841964722,-0.9458720088005066,0.12841419875621796,0.29805371165275574
normal,Headphones,1.6,left,87.43734741210938,13.804901123046875,0.970142662525177,0.23861651122570038,0.04342048615217209,4.414580985212524e-07,-0.17902952432632446,0.9838436841964722,0.8394361734390259,0.3082776963710785,0.44756194949150085
normal,Headphones,1.6,right,-87.43732452392578,13.804941177368164,-0.9701424837112427,0.2386171817779541,0.04342072084546089,-3.311185139409645e-07,-0.17902952432632446,0.9838436841964722,-0.8394359350204468,0.3082778751850128,0.44756248593330383
normal,Globe,2.6333333333333333,left,-53.080753326416016,81.50593566894531,-0.11808927357196808,0.989031195640564,0.0887259766459465,-0.605186402797699,-0.1425214558839798,0.7832222580909729,-0.2571796774864197,0.966111421585083,-0.022075414657592773
normal,Globe,2.6333333333333333,right,-121.85784912109375,35.22379684448242,-0.6938470005989075,0.5767716765403748,-0.43117377161979675,-0.6051871180534363,-0.14252205193042755,0.7832216620445251,-0.45899638533592224,0.742350161075592,-0.48809680342674255
normal,Mail Empty,0.8,left,-90.00001525878906,0,-1,0,-2.8574660859703727e-07,2.8112998506912845e-07,0.17902959883213043,-0.9838436841964722,-0.9293338060379028,0.23498792946338654,-0.28481414914131165
normal,Mail Empty,0.8,right,-85.09211730957031,1.4286479949951172,-0.9960238933563232,0.024932028725743294,0.08552741259336472,-0.08836442977190018,-0.15443554520606995,-0.9840434193611145,-0.7856398820877075,-0.03453284874558449,-0.6177194714546204
normal,Butterfly,4.966666666666667,left,-15.83923053741455,80.66075897216797,-0.04429243877530098,0.98674476146698,0.15611809492111206,-0.4617792069911957,-0.15879693627357483,0.8726645708084106,-0.2020840048789978,0.9767504334449768,0.07155918329954147
normal,Butterfly,4.966666666666667,right,-116.46114349365234,39.52615737915039,-0.6905267834663391,0.6364303827285767,-0.34369921684265137,-0.5202476978302002,-0.10689114034175873,0.8472995758056641,-0.5900358557701111,0.762541651725769,-0.26530733704566956
normal,Banana,2.3,left,77.3456802368164,11.977219581604004,0.9544685482978821,0.20752277970314026,0.2142993062734604,-0.1790296584367752,-0.17613716423511505,0.9679483771324158,-0.4746834337711334,0.013445599935948849,0.8800538778305054
normal,Banana,2.3,right,-95.23978424072266,3.272589683532715,-0.9941973686218262,0.05708641558885574,-0.09117498993873596,0.08143898099660873,-0.15432366728782654,-0.9846582412719727,-0.6652505397796631,-0.0110919289290905,-0.7465378046035767
normal,Juggle,0.6,left,64.12455749511719,7.737639427185059,0.891552746295929,0.13463714718818665,0.4324426054954529,-0.17287200689315796,0.983666718006134,0.05014868080615997,0.9775914549827576,0.18495361506938934,0.10053369402885437
normal,Juggle,0.6,right,-64.12458038330078,7.737652778625488,-0.8915528059005737,0.13463738560676575,0.4324423372745514,0.17287218570709229,0.9836668372154236,0.05014851316809654,-0.977591335773468,0.18495433032512665,0.10053294152021408
wearables,Surprised,0.23333333333333334,left,-82.04584503173828,16.50258445739746,-0.9495823383331299,0.2840586006641388,0.13268038630485535,0.029186531901359558,0.5014549493789673,-0.8646913170814514,-0.8309438824653625,0.3964172303676605,0.39036574959754944
wearables,Surprised,0.23333333333333334,right,82.04584503173828,16.502504348754883,0.9495827555656433,0.28405725955963135,0.13268056511878967,-0.029185719788074493,0.5014551877975464,-0.8646911978721619,0.8309439420700073,0.3964177966117859,0.39036551117897034
normal,Clap,0.26666666666666666,left,90.00005340576172,3.274409391451627e-05,1,5.714922508559539e-07,-8.572383762839308e-07,-4.0878805407373875e-07,0.9838436841964722,0.17902953922748566,0.7434249520301819,0.12041842937469482,-0.6578896045684814
normal,Clap,0.26666666666666666,right,-90.00000762939453,1.6372046957258135e-05,-1,2.8574612542797695e-07,0,-2.8112953032177757e-07,-0.9838436841964722,-0.1790294647216797,-0.9309452176094055,0.06468568742275238,-0.3593841791152954
