configuration,action,pair,before crossing frames,after crossing frames,before peak triangle pairs,after peak triangle pairs,after peak time
normal,Juggle,right.hand / juggle.0,191,191,608,608,0.65
normal,Juggle,right.hand / juggle.1,95,95,664,664,2.3666666666666667
normal,Juggle,right.hand / juggle.2,235,235,795,795,1.1083333333333334
normal,Juggle,right.upper-arm / body,31,31,22,22,2.7083333333333335
normal,Write,left.forearm / body,164,154,439,439,6.066666666666666
normal,Write,left.forearm / write.pad,82,82,23,23,2.775
normal,Write,left.hand / body,594,551,1494,1022,0.275
normal,Write,left.hand / right.hand,71,9,670,58,0.25
normal,Write,left.hand / write.pad,436,436,832,832,1.1666666666666667
normal,Write,left.hand / write.pencil,688,688,318,318,0.7416666666666667
normal,Write,left.upper-arm / body,494,488,330,330,5.891666666666667
normal,Write,right.forearm / write.pad,51,51,324,324,0.7333333333333333
normal,Write,right.hand / body,79,40,1047,673,0.26666666666666666
normal,Write,right.hand / write.pad,98,98,92,92,0.7166666666666667
normal,Write,right.upper-arm / body,19,13,52,35,0.3333333333333333
normal,Write Pause,left.forearm / body,164,154,430,430,3.966666666666667
normal,Write Pause,left.hand / body,402,359,1494,1022,0.275
normal,Write Pause,left.hand / right.hand,71,9,670,58,0.25
normal,Write Pause,left.hand / write.pad,157,157,832,832,1.1666666666666667
normal,Write Pause,left.hand / write.pencil,436,436,318,318,0.7416666666666667
normal,Write Pause,left.upper-arm / body,240,234,328,328,0.9666666666666667
normal,Write Pause,right.forearm / write.pad,51,51,324,324,0.7333333333333333
normal,Write Pause,right.hand / body,79,40,1049,673,0.26666666666666666
normal,Write Pause,right.hand / write.pad,98,98,92,92,0.7166666666666667
normal,Write Pause,right.upper-arm / body,19,13,51,35,0.3333333333333333
normal,Write Once,left.forearm / body,164,154,437,437,5.416666666666667
normal,Write Once,left.forearm / write.pad,34,34,23,23,2.95
normal,Write Once,left.hand / body,500,457,1494,1022,0.275
normal,Write Once,left.hand / right.hand,71,9,670,58,0.25
normal,Write Once,left.hand / write.pad,268,268,832,832,1.1666666666666667
normal,Write Once,left.hand / write.pencil,610,610,318,318,0.7416666666666667
normal,Write Once,left.upper-arm / body,342,336,331,331,5.241666666666666
normal,Write Once,right.forearm / write.pad,51,51,324,324,0.7333333333333333
normal,Write Once,right.hand / body,79,40,1050,673,0.26666666666666666
normal,Write Once,right.hand / write.pad,99,99,92,92,0.7166666666666667
normal,Write Once,right.upper-arm / body,19,13,52,36,6.033333333333333
normal,Write Again,left.forearm / body,164,154,436,436,5.166666666666667
normal,Write Again,left.forearm / write.pad,28,28,23,23,2.775
normal,Write Again,left.hand / body,483,440,1494,1022,0.275
normal,Write Again,left.hand / right.hand,71,9,670,58,0.25
normal,Write Again,left.hand / write.pad,250,250,832,832,1.1666666666666667
normal,Write Again,left.hand / write.pencil,580,580,318,318,0.7416666666666667
normal,Write Again,left.upper-arm / body,325,319,332,332,4.991666666666666
normal,Write Again,right.forearm / write.pad,51,51,324,324,0.7333333333333333
normal,Write Again,right.hand / body,79,40,1050,673,0.26666666666666666
normal,Write Again,right.hand / write.pad,97,97,92,92,0.7166666666666667
normal,Write Again,right.upper-arm / body,19,13,54,36,5.783333333333333
normal,Read,left.forearm / body,166,148,441,441,6.441666666666666
normal,Read,left.forearm / read.left,736,735,213,213,5.766666666666667
normal,Read,left.hand / body,1232,868,1977,1294,9.458333333333334
normal,Read,left.hand / read.left,812,805,1464,1464,5.791666666666667
normal,Read,left.hand / right.hand,204,0,997,0,
normal,Read,left.hand / right.upper-arm,4,0,44,0,
normal,Read,left.upper-arm / body,78,73,352,352,6.266666666666667
normal,Read,left.upper-arm / read.left,8,8,93,91,2.1083333333333334
normal,Read,right.forearm / body,36,34,65,72,1.9916666666666667
normal,Read,right.forearm / read.left,75,75,246,246,9.716666666666667
normal,Read,right.forearm / read.right,835,835,375,375,9.85
normal,Read,right.hand / body,1012,845,1158,1044,11.375
normal,Read,right.hand / read.left,32,32,850,688,9.508333333333333
normal,Read,right.hand / read.right,1025,1025,1227,1251,2.066666666666667
normal,Read,right.upper-arm / body,38,26,41,36,1.15
normal,Read,right.upper-arm / read.left,83,83,158,160,1.9916666666666667
normal,Read,right.upper-arm / read.right,36,36,194,201,9.491666666666667
normal,Read Look Up,left.forearm / body,126,106,423,406,2.025
normal,Read Look Up,left.forearm / read.left,1081,1081,272,272,6.758333333333334
normal,Read Look Up,left.hand / body,1406,1040,1960,1376,11.15
normal,Read Look Up,left.hand / read.left,1006,999,1013,646,11.133333333333333
normal,Read Look Up,left.hand / right.hand,203,0,979,0,
normal,Read Look Up,left.hand / right.upper-arm,4,0,44,0,
normal,Read Look Up,left.upper-arm / body,5,0,126,0,
normal,Read Look Up,left.upper-arm / read.left,8,7,97,95,11.141666666666667
normal,Read Look Up,right.forearm / body,35,33,65,72,1.9916666666666667
normal,Read Look Up,right.forearm / read.left,75,75,245,245,1.8666666666666667
normal,Read Look Up,right.forearm / read.right,1192,1192,378,378,11.55
normal,Read Look Up,right.hand / body,1359,1192,1157,1023,13.05
normal,Read Look Up,right.hand / read.left,32,32,855,700,11.208333333333334
normal,Read Look Up,right.hand / read.right,1227,1227,1241,1255,11.15
normal,Read Look Up,right.upper-arm / body,40,28,43,37,11.933333333333334
normal,Read Look Up,right.upper-arm / read.left,82,83,158,160,1.9916666666666667
normal,Read Look Up,right.upper-arm / read.right,36,36,192,199,2.058333333333333
normal,Butterfly,left.forearm / right.hand,1,3,2,5,3.7666666666666666
normal,Butterfly,left.hand / body,355,0,991,0,
normal,Butterfly,left.hand / right.forearm,208,207,8,8,4.158333333333333
normal,Butterfly,left.hand / right.hand,634,322,761,761,4.2
normal,Butterfly,right.forearm / body,339,324,569,569,5.725
normal,Butterfly,right.hand / body,916,13,709,192,6.433333333333334
normal,Butterfly,right.hand / butterfly.right,181,180,231,231,4.458333333333333
normal,Butterfly,right.upper-arm / body,355,351,1024,1024,5.775
normal,Headphones,left.forearm / body,31,29,95,95,12.233333333333333
normal,Headphones,left.hand / body,1307,15,1112,170,0.2916666666666667
normal,Headphones,left.hand / right.hand,1262,0,671,0,
normal,Headphones,left.upper-arm / body,49,43,253,253,12.25
normal,Headphones,right.forearm / body,50,39,95,95,12.233333333333333
normal,Headphones,right.hand / body,1407,148,1084,901,0.25833333333333336
normal,Headphones,right.upper-arm / body,37,35,250,250,12.25
normal,Sunglasses,left.forearm / body,30,0,6,0,
normal,Sunglasses,left.forearm / sunglasses,83,83,58,58,13.558333333333334
normal,Sunglasses,left.hand / body,1592,469,1380,1201,0.6833333333333333
normal,Sunglasses,left.hand / right.hand,1153,13,696,120,0.175
normal,Sunglasses,left.hand / sunglasses,414,407,686,686,13.633333333333333
normal,Sunglasses,left.upper-arm / body,425,415,100,100,11.2
normal,Sunglasses,right.hand / body,1741,0,673,0,
normal,Sunglasses,right.hand / sunglasses,16,0,176,0,
normal,Banana,left.forearm / banana.fruit,4,4,86,86,0.6583333333333333
normal,Banana,left.forearm / banana.peel,5,5,200,200,0.6583333333333333
normal,Banana,left.hand / banana.fruit,463,463,329,329,4.425
normal,Banana,left.hand / banana.peel,612,612,603,603,1.95
normal,Banana,left.hand / body,233,110,1258,1146,0.6083333333333333
normal,Banana,left.hand / right.hand,100,5,700,99,0.19166666666666668
normal,Banana,left.upper-arm / banana.fruit,3,3,154,154,0.6583333333333333
normal,Banana,left.upper-arm / banana.peel,47,47,353,353,0.6583333333333333
normal,Banana,left.upper-arm / body,103,102,70,70,0.6333333333333333
normal,Banana,right.hand / banana.peel,47,0,230,0,
normal,Banana,right.hand / body,865,0,673,0,
normal,Banana Miss,left.forearm / banana.fruit,4,4,86,86,0.6583333333333333
normal,Banana Miss,left.forearm / banana.peel,19,19,200,200,0.6583333333333333
normal,Banana Miss,left.hand / banana.fruit,104,104,173,173,1.4333333333333333
normal,Banana Miss,left.hand / banana.peel,749,749,517,517,10.558333333333334
normal,Banana Miss,left.hand / body,127,56,1258,1146,0.6083333333333333
normal,Banana Miss,left.hand / right.hand,848,784,700,99,0.19166666666666668
normal,Banana Miss,left.upper-arm / banana.fruit,3,3,154,154,0.6583333333333333
normal,Banana Miss,left.upper-arm / banana.peel,3,3,353,353,0.6583333333333333
normal,Banana Miss,left.upper-arm / body,255,253,70,70,0.6333333333333333
normal,Banana Miss,right.hand / banana.peel,328,336,170,175,3.4916666666666667
normal,Banana Miss,right.hand / body,566,25,747,166,3.3666666666666667
wearables,Idle,left.hand / body,553,0,989,0,
wearables,Idle,left.hand / right.hand,553,0,667,0,
wearables,Idle,right.hand / body,553,0,673,0,
wearables,Look Left,left.hand / body,161,0,1029,0,
wearables,Look Left,left.hand / right.hand,161,0,667,0,
wearables,Look Left,right.hand / body,161,0,673,0,
wearables,Look Right,left.hand / body,161,0,989,0,
wearables,Look Right,left.hand / right.hand,161,0,667,0,
wearables,Look Right,right.hand / body,161,0,673,0,
wearables,Chest Beat,left.hand / body,50,17,1005,128,1.325
wearables,Chest Beat,left.hand / right.hand,46,23,1430,1276,1.2916666666666667
wearables,Chest Beat,right.hand / body,48,14,902,313,0.13333333333333333
wearables,Clap,left.forearm / right.hand,76,74,33,21,0.6666666666666666
wearables,Clap,left.hand / body,183,169,989,112,0.06666666666666667
wearables,Clap,left.hand / right.forearm,136,136,152,142,1.25
