configuration,action,pair,before crossing frames,after crossing frames,before peak triangle pairs,after peak triangle pairs,after peak time
wearables,Headphones,left.upper-arm / body,49,43,253,253,12.25
wearables,Headphones,right.forearm / body,50,39,95,95,12.233333333333333
wearables,Headphones,right.hand / body,1407,148,1084,901,0.25833333333333336
wearables,Headphones,right.upper-arm / body,37,35,250,250,12.25
wearables,Sunglasses,left.forearm / body,30,0,6,0,
wearables,Sunglasses,left.forearm / sunglasses,83,83,58,58,13.558333333333334
wearables,Sunglasses,left.hand / body,1592,469,1380,1201,0.6833333333333333
wearables,Sunglasses,left.hand / right.hand,1153,13,696,120,0.175
wearables,Sunglasses,left.hand / sunglasses,414,407,686,686,13.633333333333333
wearables,Sunglasses,left.upper-arm / body,425,415,100,100,11.2
wearables,Sunglasses,right.hand / body,1741,0,673,0,
wearables,Sunglasses,right.hand / sunglasses,16,0,176,0,
wearables,Banana,left.forearm / banana.fruit,4,4,86,86,0.6583333333333333
wearables,Banana,left.forearm / banana.peel,5,5,200,200,0.6583333333333333
wearables,Banana,left.hand / banana.fruit,463,463,329,329,4.425
wearables,Banana,left.hand / banana.peel,612,612,603,603,1.95
wearables,Banana,left.hand / body,233,110,1258,1146,0.6083333333333333
wearables,Banana,left.hand / right.hand,100,5,700,99,0.19166666666666668
wearables,Banana,left.upper-arm / banana.fruit,3,3,154,154,0.6583333333333333
wearables,Banana,left.upper-arm / banana.peel,47,47,353,353,0.6583333333333333
wearables,Banana,left.upper-arm / body,103,102,70,70,0.6333333333333333
wearables,Banana,right.hand / banana.peel,47,0,230,0,
wearables,Banana,right.hand / body,865,0,673,0,
wearables,Banana Miss,left.forearm / banana.fruit,4,4,86,86,0.6583333333333333
wearables,Banana Miss,left.forearm / banana.peel,19,19,200,200,0.6583333333333333
wearables,Banana Miss,left.hand / banana.fruit,104,104,173,173,1.4333333333333333
wearables,Banana Miss,left.hand / banana.peel,749,749,517,517,10.558333333333334
wearables,Banana Miss,left.hand / body,127,56,1258,1146,0.6083333333333333
wearables,Banana Miss,left.hand / right.hand,848,784,700,99,0.19166666666666668
wearables,Banana Miss,left.upper-arm / banana.fruit,3,3,154,154,0.6583333333333333
wearables,Banana Miss,left.upper-arm / banana.peel,3,3,353,353,0.6583333333333333
wearables,Banana Miss,left.upper-arm / body,255,253,70,70,0.6333333333333333
wearables,Banana Miss,right.hand / banana.peel,328,336,170,175,3.4916666666666667
wearables,Banana Miss,right.hand / body,566,25,747,166,3.3666666666666667
